x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,87.08736,-1.3817596
0.21,-0.05,-28.64788975654116,103.317375,-0.63144493
0.21,-0.03,-28.64788975654116,105.95697,5.453127
0.21,-0.01,-28.64788975654116,95.024124,8.099324
0.21,0.01,-28.64788975654116,64.42978,-1.0839024
0.21,0.03,-28.64788975654116,7.535017,-35.905346
0.21,0.05,-28.64788975654116,-161.08359,-164.90967
0.21,0.07,-28.64788975654116,-668.8557,-614.5788
0.21,-0.07,28.64788975654116,-619.1592,612.80396
0.21,-0.05,28.64788975654116,-126.89151,188.01483
0.21,-0.03,28.64788975654116,12.917961,86.12323
0.21,-0.01,28.64788975654116,47.4533,63.83185
0.21,0.01,28.64788975654116,54.795403,56.243546
0.21,0.03,28.64788975654116,47.291237,49.90606
0.21,0.05,28.64788975654116,22.415697,34.768387
0.21,0.07,28.64788975654116,-26.539715,-0.670063
