x_tip,y_tip,tip_angle_deg,F_x,F_y
200.0,-70.0,-51.56620156177409,225.45903,-80.90572
200.0,-50.0,-34.37746770784939,314.75488,-74.88586
200.0,-30.0,-17.188733853924695,360.8079,-55.139645
200.0,-10.0,0.0,381.82095,-31.044136
200.0,10.0,0.0,381.82358,31.04206
200.0,30.0,17.188733853924695,391.02347,59.83892
200.0,50.0,34.37746770784939,401.36273,89.608185
200.0,70.0,51.56620156177409,434.01428,128.08879
200.0,70.0,51.56620156177409,177.82451,68.36449
200.0,50.0,34.37746770784939,269.81708,60.852173
200.0,30.0,17.188733853924695,333.6001,51.632294
200.0,10.0,0.0,375.7844,52.44435
200.0,-10.0,0.0,375.78232,-52.447723
200.0,-30.0,-17.188733853924695,417.1454,-81.90643
200.0,-50.0,-34.37746770784939,456.7594,-59.068237
200.0,-70.0,-51.56620156177409,225.3442,-80.79447
